"MANDT","MSEHI","KZEX3","KZEX6","ANDEC","KZKEH","KZWOB","KZ1EH","KZ2EH","DIMID","ZAEHL","NENNR","EXP10","ADDKO","EXPON","DECAN","ISOCODE","PRIMARY","TEMP_VALUE","TEMP_UNIT","FAMUNIT","PRESS_VAL","PRESS_UNIT"
"000","M3","X","X","3","X","","","","VOLUME","1","1","0","0","0","0","MTQ","X","0","","","0",""
"000","M3D","X","X","0","X","","","","VOLFLO","1","86400","0","0","0","0","","","0","","","0",""
"000","M3S","X","X","0","X","","","","VOLFLO","1","1","0","0","0","0","MQS","X","0","","","0",""
"000","MA","X","X","0","","","","","ECURR","1","1000","0","0","0","0","4K","","0","","","0",""
"000","MB2","X","X","0","","","","","SURCNT","1","10000","6","0","0","0","","","0","","","0",""
"000","MBA","X","X","0","","","","","PRESS","100","1","0","0","0","0","MBR","","0","","","0",""
"000","MBG","X","X","0","","","","","SPARAD","1","1000","6","0","0","0","","","0","","","0",""
"000","MBQ","X","X","0","","","","","ACTVTY","1","1","6","0","0","0","","","0","","","0",""
"000","MBZ","X","X","0","","","","","STEXKZ","100000","1","0","0","0","0","","","0","","","0",""
"000","MEJ","X","X","0","X","","","","ENERGY","1000000","1","0","0","0","0","","","0","","","0",""
"000","MG","X","X","3","X","","","","MASS","1","1000000","0","0","0","0","MGM","X","0","","","0",""
"000","MGF","X","X","0","","","","","MASSBD","1","100","0","0","0","0","","","0","","","0",""
"000","MGG","X","X","0","","","","","MPROPO","1","1000","0","0","0","0","","","0","","","0",""
"000","MGK","X","X","0","","","","","MPROPO","1","1000000","0","0","0","0","","","0","","","0",""
"000","MGL","X","X","0","X","","","","DENSI","1","1000","0","0","0","0","M1","","0","","","0",""
"000","MGQ","X","X","0","X","","","","DENSI","1","1000000","0","0","0","0","GP","","0","","","0",""
"000","MGW","X","X","0","","","","","POWER","1000000","1","0","0","0","0","MAW","X","0","","","0",""
"000","MHZ","X","X","0","","","","","FREQU","1000000","1","0","0","0","0","MHZ","","0","","","0",""
"000","MI","X","X","3","X","","","","LENGTH","201168","125","0","0","0","0","SMI","","0","","","0",""
"000","MI2","X","X","0","X","","","","SURFAC","774400000","299","0","0","0","0","","","0","","","0",""
"000","MIM","X","X","3","X","","","","LENGTH","1","1000000","0","0","0","0","4H","","0","","","0",""
"000","MIN","X","X","3","X","","","","TIME","60","1","0","0","0","0","MIN","X","0","","","0",""
"000","MIS","X","X","0","X","","","","TIME","1","1000000","0","0","0","0","B98","","0","","","0",""
"000","MJ","X","X","0","","","","","ENERGY","1","1000","0","0","0","0","C15","","0","","","0",""
"000","ML","X","X","3","X","","","","VOLUME","1","1000000","0","0","0","0","MLT","X","0","","","0",""
"000","MLK","X","X","0","","","","","VPROPO","1","1","-6","0","0","0","","","0","","","0",""
"000","MLW","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","","","0","","","0",""
"000","MM","X","X","3","X","","","","LENGTH","1","1000","0","0","0","0","MMT","X","0","","","0",""
"000","MM2","X","X","3","X","","","","SURFAC","1","1000000","0","0","0","0","MMK","","0","","","0",""
"000","MMA","X","X","0","","","","","SPEED","1","31536","-6","0","0","0","","","0","","","0",""
"000","MMG","X","X","0","","","","","SPAEQU","1","1","0","0","0","0","","","0","","","0",""
"000","MMH","X","X","0","","","","","SPEED","1","3600000","0","0","0","0","","","0","","","0",""
"000","MMK","X","X","0","","","","","SPAEQU","1","1000","0","0","0","0","D87","","0","","","0",""
"000","MMO","X","X","0","","","","","MOLQU","1","1000","0","0","0","0","C18","","0","","","0",""
"000","MMQ","X","X","0","X","","","","VOLUME","1","1","-9","0","0","0","MMQ","","0","","","0",""
"000","MMS","X","X","0","","","","","SPEED","1","1000","0","0","0","0","C16","","0","","","0",""
"000","MNM","X","X","0","X","","","","SURFTE","1","1000","0","0","0","0","","","0","","","0",""
"000","MOK","X","X","0","","","","","SPAEQU","1","1","0","0","0","0","C19","","0","","","0",""
"000","MOL","X","X","0","","","","","MOLQU","1","1","0","0","0","0","C34","","0","","","0",""
"000","MON","X","X","0","X","","","","TIME","2592000","1","0","0","0","0","MON","X","0","","","0",""
"000","MPA","X","X","0","","","","","PRESS","1000000","1","0","0","0","0","MPA","","0","","","0",""
"000","MPB","X","X","0","","","","","MPROPO","1","1","-9","0","0","0","","","0","","","0",""
"000","MPG","X","X","3","X","","","","SURINV","201168","473168","6","0","0","0","","","0","","","0",""
"000","MPM","X","X","0","","","","","MPROPO","1","1","-6","0","0","0","","","0","","","0",""
"000","MPS","X","X","0","X","","","","VISDYN","1","1000","0","0","0","0","C24","","0","","","0",""
"000","MPT","X","X","0","","","","","MPROPO","1","1","-12","0","0","0","","","0","","","0",""
"000","MPZ","X","X","0","","","","","STEXKZ","1","1","0","0","0","0","","","0","","","0",""
"000","MQH","X","X","0","X","","","","VOLFLO","1","3600","0","0","0","0","MQH","","0","","","0",""
"000","MR","X","X","2","X","","","","AAAADL","1","1","0","0","0","0","MT1","","0","","","0",""
"000","STD","X","X","3","X","","","","TIME","3600","1","0","0","0","1","HUR","X","0","","","0",""
"000","SVH","X","X","0","","","","","DOSRAT","1","3600","0","0","0","0","","","0","","","0",""
"000","SVS","X","X","0","","","","","DOSRAT","1","1","0","0","0","0","","","0","","","0",""
"000","SY","X","X","3","X","","","","AAAADL","1","1","0","0","0","3","YDK","","0","","","0",""
"000","TAG","X","X","0","X","","","","TIME","86400","1","0","0","0","0","DAY","X","0","","","0",""
"000","TBQ","X","X","0","","","","","ACTVTY","1","1","12","0","0","0","","","0","","","0",""
"000","TC3","X","X","0","","","","","TKONZ","1000000","1","0","0","0","0","","","0","","","0",""
"000","TES","X","X","0","","","","","MAGNFD","1","1","0","0","0","0","D33","","0","","","0",""
"000","TH","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","MIL","X","0","","","0",""
"000","TM3","X","X","0","","","","","TKONZ","1","1","0","0","0","0","","","0","","","0",""
"000","TO","X","X","3","X","","","","MASS","1000","1","0","0","0","0","TNE","X","0","","","0",""
"000","TON","X","X","0","X","","","","MASS","113398","125","0","0","0","0","STN","","0","","","0",""
"000","TST","X","X","0","X","","","","TIME","12","17","0","9","0","0","","","0","","","0",""
"000","UGL","X","X","0","X","","","","DENSI","1","1","-6","0","0","0","","","0","","","0",""
"000","USH","X","X","0","","","","","DOSRAT","1","3600","-6","0","0","0","","","0","","","0",""
"000","V","X","X","0","","","","","VOLTAG","1","1","0","0","0","0","VLT","X","0","","","0",""
"000","V%","X","X","0","","","","","VPROPO","1","100","0","0","0","0","","","0","","","0",""
"000","V%O","X","X","0","","","","","VPROPO","1","1000","0","0","0","0","","","0","","","0",""
"000","V01","X","X","0","X","","","","CONDUC","1","1","-4","0","0","3","","","0","","","0",""
"000","V02","X","X","0","X","","","","ACBAC","1","1","0","0","0","3","C36","","0","","","0",""
"000","VAL","X","X","0","X","X","","","AAAADL","1","1","0","0","0","0","","","0","","","0",""
"000","VPB","X","X","0","","","","","VPROPO","1","1","-9","0","0","0","","","0","","","0",""
"000","VPM","X","X","0","","","","","VPROPO","1","1","-6","0","0","0","","","0","","","0",""
"000","VPT","X","X","0","","","","","VPROPO","1","1","-12","0","0","0","","","0","","","0",""
"000","W","X","X","0","","","","","POWER","1","1","0","0","0","0","WTT","X","0","","","0",""
"000","WCH","X","X","0","X","","","","TIME","604800","1","0","0","0","0","WEE","X","0","","","0",""
"000","WMK","X","X","0","X","","","","THCOND","1","1","0","0","0","0","D53","","0","","","0",""
"000","WTL","X","X","0","X","","","","EVARA","1","1","0","0","0","0","","","0","","","0",""
"000","YD","X","X","0","X","","","","LENGTH","1143","1250","0","0","0","0","","","0","","","0",""
"000","YD2","X","X","0","X","","","","SURFAC","250","299","0","0","0","0","","","0","","","0",""
"000","YD3","X","X","0","X","","","","VOLUME","764551872","1","-9","0","0","0","","","0","","","0",""
